,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,total,region,Restaurant or Attraction?
0,-0iLH7iQNYtoURciDpJf6w,le-comptoir-de-la-gastronomie-paris,Le Comptoir de la Gastronomie,https://s3-media3.fl.yelpcdn.com/bphoto/xT4YkCm_cZWbKbz9AVEnaA/o.jpg,False,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,1231,"[{'alias': 'french', 'title': 'French'}]",4.5,[],€€,+33142333132,+33 1 42 33 31 32,566.7459178575656,48.8645157999652,2.34540185646608,34 rue Montmartre,,,Paris,75001,FR,75,"['34 rue Montmartre', '75001 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
1,IU9_wVOGBKjfqTTpAXpKcQ,bistro-des-augustins-paris,Bistro des Augustins,https://s3-media2.fl.yelpcdn.com/bphoto/ctHDHMiqeUGs8Zcj71nk7g/o.jpg,False,https://www.yelp.com/biz/bistro-des-augustins-paris?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,470,"[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,[],€€,+33143540441,+33 1 43 54 04 41,1006.3579711701,48.854754,2.342119,39 quai des Grands Augustins,,,Paris,75006,FR,75,"['39 quai des Grands Augustins', '75006 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
2,ctP4c3mwVO5oOzLI48LtuQ,les-antiquaires-paris,Les Antiquaires,https://s3-media3.fl.yelpcdn.com/bphoto/_4TQ2e-kOpyGCwehxxB4NQ/o.jpg,False,https://www.yelp.com/biz/les-antiquaires-paris?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,433,"[{'alias': 'bistros', 'title': 'Bistros'}]",4.5,[],€€€,+33142610836,+33 1 42 61 08 36,917.3379947273052,48.8580664639432,2.32823697067099,13 rue du Bac,,,Paris,75007,FR,75,"['13 rue du Bac', '75007 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
3,cEjF41ZQB8-SST8cd3EsEw,l-avant-comptoir-paris-3,L'Avant Comptoir,https://s3-media3.fl.yelpcdn.com/bphoto/mVwgxgmpUcAUOZKdxypwSw/o.jpg,False,https://www.yelp.com/biz/l-avant-comptoir-paris-3?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,648,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,[],€€,+33142384755,+33 1 42 38 47 55,1263.3513309439616,48.85202,2.3388,3 carrefour de l'Odéon,,,Paris,75006,FR,75,"[""3 carrefour de l'Odéon"", '75006 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
4,-umFmobUgpW_05m_ud1vHw,la-cordonnerie-paris-5,La Cordonnerie,https://s3-media1.fl.yelpcdn.com/bphoto/IeTa4jNQx-Cg3GgLOd2VZQ/o.jpg,False,https://www.yelp.com/biz/la-cordonnerie-paris-5?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,93,"[{'alias': 'french', 'title': 'French'}]",4.5,[],€€€,+33142601742,+33 1 42 60 17 42,461.4973165667248,48.86543,2.33237,20 rue Saint Roch,,,Paris,75001,FR,75,"['20 rue Saint Roch', '75001 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
5,J8q2EjxuOk3v19R5xQWAFA,café-blanc-paris-7,Café Blanc,https://s3-media3.fl.yelpcdn.com/bphoto/c0zzDMk1J4Bxa-vk0byYjA/o.jpg,False,https://www.yelp.com/biz/caf%C3%A9-blanc-paris-7?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,50,"[{'alias': 'french', 'title': 'French'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,[],,+33142335585,+33 1 42 33 55 85,144.17053116483697,48.8627362423863,2.339585,10 rue Croix des Petits Champs,,,Paris,75001,FR,75,"['10 rue Croix des Petits Champs', '75001 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
6,PXYLVsHC33f_dQVVCH-PMw,victoires-paris-2,Victoires,https://s3-media2.fl.yelpcdn.com/bphoto/OuuWSKAR9c1oj_7bbDJ-Qw/o.jpg,False,https://www.yelp.com/biz/victoires-paris-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,249,"[{'alias': 'french', 'title': 'French'}]",4.0,[],€€,+33142614378,+33 1 42 61 43 78,303.28317373494144,48.865569,2.340286,6 rue la Vrillière,,,Paris,75001,FR,75,"['6 rue la Vrillière', '75001 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
7,ijqSzadlZ9SCXvUEpMimcA,angelina-paris,Angelina,https://s3-media1.fl.yelpcdn.com/bphoto/LRnBdOHVdTY_pVGccxu9sg/o.jpg,False,https://www.yelp.com/biz/angelina-paris?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,1490,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",4.0,[],€€€,+33142608200,+33 1 42 60 82 00,713.5522041653722,48.865092,2.328464,226 rue de Rivoli,,,Paris,75001,FR,75,"['226 rue de Rivoli', '75001 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
8,KggnM_Z4wOa_JExunaaWHg,le-temps-des-cerises-paris-5,Le Temps des Cerises,https://s3-media4.fl.yelpcdn.com/bphoto/UqeDuXHQOBoBoKWguRUsFg/o.jpg,False,https://www.yelp.com/biz/le-temps-des-cerises-paris-5?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,370,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,[],€€€,+33142720863,+33 1 42 72 08 63,2269.2046133623558,48.852569,2.364184,31 rue de la Cerisaie,,,Paris,75004,FR,75,"['31 rue de la Cerisaie', '75004 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
9,n601y41nOORUePsM7KsuaA,gambino-paris-2,Gambino,https://s3-media2.fl.yelpcdn.com/bphoto/enVtWtDQKDCjZkl6Xa7OGw/o.jpg,False,https://www.yelp.com/biz/gambino-paris-2?adjust_creative=xmadmbmbf8bnC8F5t9mdMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xmadmbmbf8bnC8F5t9mdMg,229,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,[],€€,+33142601270,+33 1 42 60 12 70,572.5743978974634,48.86736,2.33298,6 rue Gomboust,,,Paris,75001,FR,75,"['6 rue Gomboust', '75001 Paris', 'France']",11100,"{'center': {'longitude': 2.3378562927246094, 'latitude': 48.86335891978702}}",Restaurant
